feature,coef,abs_coef
cat__ogrn_naprav_1026200597697,0.7521115426327242,0.7521115426327242
cat__ogrn_area_1022900530619,0.7506589807640499,0.7506589807640499
cat__ogrn_area_1026301701667,0.7503424192796339,0.7503424192796339
cat__ogrn_naprav_1026301701667,0.7503424192796339,0.7503424192796339
cat__ogrn_area_1025600823082,0.7499685456649925,0.7499685456649925
cat__ogrn_naprav_1026602318710,-0.7481119171151576,0.7481119171151576
cat__variant_727.020411,0.7470690001032755,0.7470690001032755
cat__ogrn_area_1116330004460,0.7450911939864404,0.7450911939864404
cat__ogrn_naprav_1116330004460,0.7450911939864404,0.7450911939864404
cat__ogrn_area_1157154024147,0.7425878646884714,0.7425878646884714
cat__ogrn_naprav_1037739439319,0.7423496846038274,0.7423496846038274
cat__ogrn_naprav_1022501912839,0.7395904423325068,0.7395904423325068
cat__ogrn_naprav_1021100899742,-0.7351007333287101,0.7351007333287101
cat__ogrn_naprav_1036894111473,0.7316919654894687,0.7316919654894687
cat__ogrn_naprav_1022402149131,-0.7313013978848351,0.7313013978848351
cat__ogrn_naprav_1157746630271,-0.730015512620431,0.730015512620431
cat__ogrn_area_1240700004379,-0.7256506301119133,0.7256506301119133
cat__ogrn_naprav_1037739304460,0.7247290627127909,0.7247290627127909
cat__ogrn_naprav_1025005123021,-0.71858945020932,0.71858945020932
cat__ogrn_naprav_1157154024004,0.7174310900851324,0.7174310900851324
cat__variant_10310,-0.7123621482196245,0.7123621482196245
cat__ogrn_area_1022303618556,-0.7119691822138456,0.7119691822138456
cat__variant_30612,-0.7111254499761371,0.7111254499761371
cat__variant_81105,0.7092831952840967,0.7092831952840967
cat__ogrn_naprav_1033600024611,0.7088875972167139,0.7088875972167139
cat__ogrn_area_1026601376097,0.707467204894717,0.707467204894717
cat__ogrn_area_1154703002706,0.7030294233730681,0.7030294233730681
cat__variant_727.120126,-0.6966903007667667,0.6966903007667667
cat__ogrn_naprav_1022701291986,0.6954850544848342,0.6954850544848342
cat__ogrn_naprav_1027100684720,0.6933076192426144,0.6933076192426144
cat__ogrn_naprav_1026605403868,-0.6927145215536099,0.6927145215536099
cat__variant_727.120125,-0.6925659257577987,0.6925659257577987
cat__ogrn_naprav_1115003007790,-0.6899906165926661,0.6899906165926661
cat__ogrn_area_1020100700124,-0.6870483071963792,0.6870483071963792
cat__ogrn_area_1024101018688,-0.6830744301631217,0.6830744301631217
cat__ogrn_naprav_1026604960733,-0.6819951368959624,0.6819951368959624
cat__ogrn_naprav_1027501160246,0.6808497063107499,0.6808497063107499
cat__ogrn_area_1026000904621,-0.6801556147207576,0.6801556147207576
cat__ogrn_naprav_1022700516431,0.6771842314906004,0.6771842314906004
cat__ogrn_naprav_1024001193710,-0.676812799120949,0.676812799120949
cat__ogrn_area_1022700516431,0.6752802363651959,0.6752802363651959
cat__ogrn_area_1027200823760,-0.6742771085243686,0.6742771085243686
cat__ogrn_naprav_1020201998574,-0.6738453916650762,0.6738453916650762
cat__risk_level_medium,0.6720027199919303,0.6720027199919303
cat__variant_110121,0.6719586939013632,0.6719586939013632
cat__ogrn_area_1034700559508,0.6710727966570085,0.6710727966570085
cat__ogrn_area_1026500533883,0.6710390858933303,0.6710390858933303
cat__variant_121009,-0.668689237964771,0.668689237964771
cat__ogrn_naprav_1020900510146,0.6666923597693636,0.6666923597693636
cat__ogrn_naprav_1027200796941,-0.6645652114505243,0.6645652114505243
cat__ogrn_area_1022301426696,0.6636209212265446,0.6636209212265446
cat__variant_20133,-0.6620964730721892,0.6620964730721892
cat__ogrn_area_1028600961036,-0.6616790010571121,0.6616790010571121
cat__ogrn_area_1026400703372,0.6602274936601934,0.6602274936601934
